時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021/7/12 00:00,177,60,505,3757,"4,476",1813,2982,222
2021/7/12 01:00,175,59,499,3744,"4,469",1813,2980,221
2021/7/12 02:00,172,60,502,3724,"4,464",1808,2978,220
2021/7/12 03:00,171,58,499,3708,"4,467",1807,2973,221
2021/7/12 04:00,174,59,500,3697,"4,469",1806,2966,223
2021/7/12 05:00,179,61,542,3685,"4,465",1797,2963,264
2021/7/12 06:00,236,82,770,3687,"4,475",1793,2960,782
2021/7/12 07:00,509,566,1552,3697,"4,486",1814,2994,1258
2021/7/12 08:00,752,758,1905,3726,"4,491",1826,3043,1434
2021/7/12 09:00,808,887,1881,3765,"4,497",1832,3051,1439
2021/7/12 10:00,841,888,1859,3788,"4,504",1839,3062,1419
2021/7/12 11:00,867,911,1879,3791,"4,506",1847,3075,1406
2021/7/12 12:00,798,893,1858,3785,"4,506",1842,3091,1364
2021/7/12 13:00,819,926,1898,3782,"4,512",1843,3081,1363
2021/7/12 14:00,810,942,1867,3819,"4,512",1838,3081,1340
2021/7/12 15:00,807,907,1848,3824,"4,519",1841,3077,1326
2021/7/12 16:00,791,793,1824,3820,"4,523",1843,3071,1284
2021/7/12 17:00,773,498,1772,3813,"4,520",1839,3078,931
2021/7/12 18:00,686,214,1147,3790,"4,512",1834,3058,573
2021/7/12 19:00,613,184,920,3770,"4,509",1832,3038,350
2021/7/12 20:00,523,70,815,3762,"4,492",1822,3010,284
2021/7/12 21:00,409,63,717,3774,"4,489",1820,3001,251
2021/7/12 22:00,306,64,617,3765,"4,488",1821,2993,238
2021/7/12 23:00,227,61,544,3757,"4,482",1817,2987,229
2021/7/13 00:00,166,60,505,3757,"4,476",1813,2982,222
2021/7/13 01:00,164,59,499,3744,"4,469",1813,2980,221
2021/7/13 02:00,165,60,502,3724,"4,464",1808,2978,220
2021/7/13 03:00,164,58,499,3708,"4,467",1807,2973,221
2021/7/13 04:00,164,59,500,3697,"4,469",1806,2966,223
2021/7/13 05:00,167,61,542,3685,"4,465",1797,2963,264
2021/7/13 06:00,201,82,770,3687,"4,475",1793,2960,782
2021/7/13 07:00,480,566,1552,3697,"4,486",1814,2994,1258
2021/7/13 08:00,687,758,1905,3726,"4,491",1826,3043,1434
2021/7/13 09:00,752,887,1881,3765,"4,497",1832,3051,1439
2021/7/13 10:00,772,888,1859,3788,"4,504",1839,3062,1419
2021/7/13 11:00,795,911,1879,3791,"4,506",1847,3075,1406
2021/7/13 12:00,723,893,1858,3785,"4,506",1842,3091,1364
2021/7/13 13:00,746,926,1898,3782,"4,512",1843,3081,1363
2021/7/13 14:00,751,942,1867,3819,"4,512",1838,3081,1340
2021/7/13 15:00,743,907,1848,3824,"4,519",1841,3077,1326
2021/7/13 16:00,725,793,1824,3820,"4,523",1843,3071,1284
2021/7/13 17:00,708,498,1772,3813,"4,520",1839,3078,931
2021/7/13 18:00,624,214,1147,3790,"4,512",1834,3058,573
2021/7/13 19:00,567,184,920,3770,"4,509",1832,3038,350
2021/7/13 20:00,476,70,815,3762,"4,492",1822,3010,284
2021/7/13 21:00,378,63,717,3774,"4,489",1820,3001,251
2021/7/13 22:00,271,64,617,3765,"4,488",1821,2993,238
2021/7/13 23:00,202,61,544,3757,"4,482",1817,2987,229
2021/7/14 00:00,166,60,505,3757,"4,476",1813,2982,222
2021/7/14 01:00,164,59,499,3744,"4,469",1813,2980,221
2021/7/14 02:00,165,60,502,3724,"4,464",1808,2978,220
