時間,電廠1,電廠4,
2021/07/12 00:00:00,0,0,
2021/07/12 01:00:00,0,0,
2021/07/12 02:00:00,0,0,
2021/07/12 03:00:00,0,0,
2021/07/12 04:00:00,0,0,
2021/07/12 05:00:00,2.95,0,
2021/07/12 06:00:00,31.42,0,
2021/07/12 07:00:00,120.74,0,
2021/07/12 08:00:00,220.36,0,
2021/07/12 09:00:00,261.63,0,
2021/07/12 10:00:00,272.19,308.31,
2021/07/12 11:00:00,288.12,824,
2021/07/12 12:00:00,270.03,753.12,
2021/07/12 13:00:00,287.51,720.32,
2021/07/12 14:00:00,286.38,707.88,
2021/07/12 15:00:00,250.68,552.64,
2021/07/12 16:00:00,39.02,172.07,
2021/07/12 17:00:00,10.96,16.81,
2021/07/12 18:00:00,3.86,11.2,
2021/07/12 19:00:00,0.03,0.31,
2021/07/12 20:00:00,0,0,
2021/07/12 21:00:00,0,0,
2021/07/12 22:00:00,0,0,
2021/07/12 23:00:00,0,0,
2021/07/13 00:00:00,0,0,
2021/07/13 01:00:00,0,0,
2021/07/13 02:00:00,0,0,
2021/07/13 03:00:00,0,0,
2021/07/13 04:00:00,0,0,
2021/07/13 05:00:00,5.09,14.43,
2021/07/13 06:00:00,50.49,130.02,
2021/07/13 07:00:00,132.95,359.33,
2021/07/13 08:00:00,175.87,588.37,
2021/07/13 09:00:00,269.94,727.25,
2021/07/13 10:00:00,276.51,889.62,
2021/07/13 11:00:00,219.2,673.83,
2021/07/13 12:00:00,212.7,788.62,
2021/07/13 13:00:00,271.96,778.26,
2021/07/13 14:00:00,253.42,265.42,
2021/07/13 15:00:00,47.07,9.24,
2021/07/13 16:00:00,1.6,12.39,
2021/07/13 17:00:00,3.54,6.12,
2021/07/13 18:00:00,1.59,3.36,
2021/07/13 19:00:00,0,0.06,
2021/07/13 20:00:00,0,0,
2021/07/13 21:00:00,0,0,
2021/07/13 22:00:00,0,0,
2021/07/13 23:00:00,0,0,
2021/07/14 00:00:00,0,0,
2021/07/14 01:00:00,0,0,
2021/07/14 02:00:00,0,0,
2021/07/14 03:00:00,0,0,
2021/07/14 04:00:00,0,0,
2021/07/14 05:00:00,4.27,11.45,
2021/07/14 06:00:00,41.04,121.66,
2021/07/14 07:00:00,128.75,366.19,
2021/07/14 08:00:00,183.77,612.79,
2021/07/14 09:00:00,233.77,783.2,
2021/07/14 10:00:00,307.73,853.09,
2021/07/14 11:00:00,172.91,650.84,
2021/07/14 12:00:00,226.25,771.32,
2021/07/14 13:00:00,273.79,579.12,
2021/07/14 14:00:00,241.27,747.5,
2021/07/14 15:00:00,234.1,678.57,
2021/07/14 16:00:00,80.84,502.83,
2021/07/14 17:00:00,55.28,278.96,
2021/07/14 18:00:00,12.32,58.31,
2021/07/14 19:00:00,0.05,0.15,
2021/07/14 20:00:00,0,0,
2021/07/14 21:00:00,0,0,
2021/07/14 22:00:00,0,0,
2021/07/14 23:00:00,0,0,
2021/07/15 00:00:00,0,0,
2021/07/15 01:00:00,0,0,
2021/07/15 02:00:00,0,0,
2021/07/15 03:00:00,0,0,
2021/07/15 04:00:00,0,0,
2021/07/15 05:00:00,3.47,5.36,
2021/07/15 06:00:00,46.46,96.48,
2021/07/15 07:00:00,124.91,252.39,
2021/07/15 08:00:00,206.45,544.73,
2021/07/15 09:00:00,222.11,618.58,
2021/07/15 10:00:00,167.07,440.67,
2021/07/15 11:00:00,294.09,792.65,
2021/07/15 12:00:00,249.09,659.64,
2021/07/15 13:00:00,274.93,294.5,
